species,threshold
1161364,0.5
116570,0.5
1176823,0.5
1595929,0.5
209233,0.5
22930,0.5
22956,0.5
22961,0.1
22967,0.25000000000000006
22973,0.30000000000000004
22983,0.5
22985,0.5
23150,0.5
23154,0.5
23158,0.40000000000000013
23176,0.5
23724,0.5
24279,0.5500000000000002
24285,0.5
24287,0.5
24321,0.3500000000000001
244024,0.5
25092,0.5
25214,0.5
326272,0.5
41970,0.5
43435,0.5
47144,0.1
476521,0.5
516975,0.5
555123,0.5
555145,0.5
555146,0.3500000000000001
64898,0.5
65377,0.5
65380,0.3500000000000001
66971,0.30000000000000004
67107,0.5
67252,0.5
70711,0.5
738183,0.5
74113,0.5
74580,0.5
760266,0.5
ashgre1,0.5
astcra1,0.5
bafcur1,0.5
baffal1,0.5
banana,0.5
barant1,0.5
batbel1,0.5
baymac,0.5
bbwduc,0.5
bcwfin2,0.5
bkcdon,0.5
bkhpar,0.5
blchaw1,0.5
blheag1,0.5
blttit1,0.5
bncfly,0.5
bobfly1,0.5
brcmar1,0.5
brnowl,0.5
bucmot4,0.5
bucpar,0.5
bufpar,0.45000000000000007
bunibi1,0.5
burowl,0.5
camfli1,0.5
chacha1,0.25000000000000006
chbmoc1,0.5
chobla1,0.5
chvcon1,0.20000000000000004
cibspi1,0.5
coffal1,0.5
compau,0.20000000000000004
compot1,0.5
crbthr1,0.5
crebec1,0.5
dwatin1,0.5
epaori4,0.5
eulfly1,0.5
fabwre1,0.5
fepowl,0.5
ficman1,0.5
flawar1,0.5
fotfly,0.5
fusfly1,0.5
gilhum1,0.5
giwrai1,0.5
glteme1,0.5
grasal3,0.5
greani1,0.5
greant1,0.5
greela,0.5
grekis,0.5
grepot1,0.5
gretho2,0.5
greyel,0.5
grfdov1,0.5
grhtan1,0.5
gycwor1,0.5
horscr1,0.5
houspa,0.5
hyamac1,0.40000000000000013
larela1,0.5
lesela1,0.5
lesgrf1,0.5
limpki,0.5
linwoo1,0.5
litcuc2,0.5
litnig1,0.15000000000000002
mabpar,0.5
magant1,0.5
magtan2,0.5
masgna1,0.5
nacnig1,0.5
ocecra1,0.5
oliwoo1,0.5
orbtro3,0.5
orwpar,0.1
osprey,0.5
pabspi1,0.5
palhor3,0.5
paltan1,0.5
phecuc1,0.5
picpig2,0.5
pirfly1,0.5
plasla1,0.5
platyr1,0.5
plcjay1,0.5
pluibi1,0.5
purjay1,0.5
pvttyr1,0.5
ragmac1,0.5
rebscy1,0.5
recfin1,0.5
redjun,0.5
relser1,0.5
rinkin1,0.5
rivwar1,0.5
roahaw,0.5
rubthr1,0.5
rufcac2,0.5
rufcas2,0.5
rufgna3,0.5
rufhor2,0.5
rufnig1,0.5
ruftho1,0.5
ruftof1,0.5
rumfly1,0.5
ruther1,0.5
rutjac1,0.5
sabspa1,0.5
saffin,0.5
saytan1,0.5
scadov1,0.5
schpar1,0.5
scther1,0.5
shcfly1,0.5
shshaw,0.5
shtnig1,0.5
sibtan2,0.5
smbani,0.5
smbtin1,0.5
sobcac1,0.5
sobtyr1,0.5
socfly1,0.5
sofspi1,0.5
souant1,0.5
soulap1,0.5
souscr1,0.5
spbant3,0.5
spispi1,0.5
sptnig1,0.5
squcuc1,0.5
stbwoo2,0.5
strcuc1,0.5
strher2,0.5
strowl1,0.5
swthum1,0.5
swtman1,0.5
tattin1,0.5
thlwre1,0.5
toctou1,0.5
trokin,0.5
trsowl,0.1
undtin1,0.15000000000000002
varant1,0.5
watjac1,0.5
wesfie1,0.5
wfwduc1,0.5
whbant2,0.5
whbwar2,0.5
whiwoo1,0.5
whlspi1,0.5
whnjay1,0.5
whtdov,0.25000000000000006
whwpic1,0.5
y00678,0.5
yebcar,0.5
yebela1,0.5
yecmac,0.5
yecpar,0.5
yehcar1,0.5
yeofly1,0.5
