primary_label,count,common_name,class_name,is_zero_shot
516975,1,Hooded Capuchin,Mammalia,False
23724,1,Waxy Monkey Tree Frog,Amphibia,False
23150,1,Central Dwarf Frog,Amphibia,False
116570,1,Southern Spectacled Caiman,Reptilia,False
209233,2,Feral Horse,Mammalia,False
24321,2,Mato Grosso Snouted Tree Frog,Amphibia,False
70711,2,Cei's White-lipped Frog,Amphibia,False
74580,3,Black-tailed Marmoset,Mammalia,False
sptnig1,3,Spot-tailed Nightjar,Aves,False
64898,3,Yungas de la Paz Poison Frog,Amphibia,False
555123,3,Usina Tree Frog,Amphibia,False
476521,3,Cuyaba Dwarf Frog,Amphibia,False
25214,3,Muller's Termite Frog,Amphibia,False
23176,4,Cope's Swamp Froglet,Amphibia,False
23154,5,Bahia Dwarf Frog,Amphibia,False
1595929,5,Uruguay Harlequin Frog,Amphibia,False
738183,5,White-coated Titi,Mammalia,False
66971,5,Paraguayan Swimming Frog,Amphibia,False
22961,6,Pointedbelly Frog,Amphibia,False
22930,6,Basin White-lipped Frog,Amphibia,False
67252,6,Milk Frog,Amphibia,False
22985,6,Peter's Jungle Frog,Amphibia,False
760266,7,Prionacris erosa,Insecta,False
22967,8,Marbled White-lipped Frog,Amphibia,False
555145,9,Polka-dot Tree Frog,Amphibia,False
22983,10,Pepper Frog,Amphibia,False
74113,10,Highland,Mammalia,False
1161364,11,Guyalna cuta,Insecta,False
24287,11,Brown-bordered Snouted Tree Frog,Amphibia,False
1176823,12,Wrestler Frog,Amphibia,False
43435,14,Black Howling Monkey,Mammalia,False
67107,14,Rococo Toad,Amphibia,False
ocecra1,15,Ocellated Crake,Aves,False
555146,18,Chaco Tree Frog,Amphibia,False
nacnig1,18,Nacunda Nighthawk,Aves,False
24285,19,Snouted Tree Frog,Amphibia,False
