filename,start,end,pseudo_labels
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:00,00:00:05,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:05,00:00:10,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:15,00:00:20,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:35,00:00:40,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:00,00:00:05,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:05,00:00:10,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:10,00:00:15,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:15,00:00:20,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:35,00:00:40,23158;65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:45,00:00:50,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:50,00:00:55,65380
BC2026_Train_0039_S22_20211231_201500.ogg,00:00:55,00:01:00,65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:00,00:00:05,65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:30,00:00:35,65380
BC2026_Train_0019_S22_20211104_200000.ogg,00:00:50,00:00:55,22973
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:00,00:00:05,22973;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:05,00:00:10,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:10,00:00:15,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:45,00:00:50,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:50,00:00:55,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:00,00:00:05,22973;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:05,00:00:10,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:10,00:00:15,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:15,00:00:20,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:20,00:00:25,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:25,00:00:30,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:30,00:00:35,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:35,00:00:40,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:40,00:00:45,65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:45,00:00:50,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:50,00:00:55,555146;65380
BC2026_Train_0053_S22_20220211_204500.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:00,00:00:05,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:05,00:00:10,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:10,00:00:15,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:15,00:00:20,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:20,00:00:25,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:25,00:00:30,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:30,00:00:35,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:35,00:00:40,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:40,00:00:45,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:45,00:00:50,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:50,00:00:55,65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:55,00:01:00,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:00,00:00:05,24279;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:05,00:00:10,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:10,00:00:15,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:15,00:00:20,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:20,00:00:25,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:25,00:00:30,555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:30,00:00:35,24279;555146;65380
BC2026_Train_0047_S22_20220131_003000.ogg,00:00:35,00:00:40,555146;65380
